episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
1,594.0,672,113,0.9989,,637.1,0,0.7
2,660.0,843,635,0.9927,,619.1,0,4.8
3,238.0,301,39,0.9923,,646.9,0,5.1
4,229.0,297,59,0.9917,,684.8,0,5.4
5,784.0,898,300,0.9888,2.55736,96.9,0,17.8
6,1204.0,1432,853,0.9804,1.53736,58.8,0,75.8
7,205.0,274,60,0.9798,1.0293,60.0,0,79.8
8,841.0,1131,1168,0.9684,1.00624,51.7,0,170.1
9,1192.0,1411,816,0.9604,0.83587,51.5,0,233.5
10,654.0,791,400,0.9565,0.78502,49.3,0,265.9
11,896.0,1134,906,0.9476,0.76406,47.4,0,342.3
12,233.0,298,44,0.9472,0.69843,38.3,0,346.9
13,217.0,283,47,0.9467,0.71291,45.0,0,351.1
14,246.0,310,31,0.9464,0.8172,50.9,0,353.5
15,205.0,271,45,0.946,0.76287,49.7,0,357.2
16,598.0,679,129,0.9447,0.78158,53.4,0,366.8
17,246.0,310,37,0.9443,0.74936,52.8,0,369.6
18,221.0,287,50,0.9438,0.74695,49.5,0,373.7
19,613.0,722,270,0.9412,0.84614,52.0,0,394.4
20,238.0,303,37,0.9408,0.80759,52.2,0,397.3
21,1027.0,1132,240,0.9385,0.8283,50.9,0,416.1
22,642.0,864,832,0.9303,0.78814,44.0,0,491.7
23,578.0,682,230,0.9281,0.75618,41.8,0,513.7
24,726.0,835,256,0.9256,0.77011,36.6,0,541.7
25,698.0,897,724,0.9185,0.71192,38.2,0,617.5
26,832.0,1155,1330,0.9054,0.67855,41.7,0,745.1
27,247.0,310,37,0.9051,0.66594,40.3,0,748.8
28,702.0,856,487,0.9003,0.75733,41.2,0,796.1
29,622.0,707,162,0.8987,0.90166,45.2,0,810.4
30,613.0,697,135,0.8974,0.89518,42.4,0,823.1
31,902.0,1129,854,0.889,0.87826,55.1,0,885.2
32,460.0,827,1556,0.8738,0.78989,60.8,0,987.6
33,591.0,674,134,0.8725,0.72199,65.4,0,995.8
34,584.0,662,105,0.8714,0.72327,65.1,0,1002.2
35,218.0,286,52,0.8709,0.76666,68.1,0,1005.3
36,581.0,672,173,0.8692,0.78488,65.9,0,1015.8
37,241.0,305,39,0.8688,0.80907,65.7,0,1018.2
38,1869.0,2021,470,0.8642,0.80423,69.7,0,1045.1
39,614.0,689,94,0.8633,0.79233,71.4,0,1050.4
40,982.0,1123,430,0.8591,0.80463,70.5,0,1074.8
41,627.0,715,172,0.8574,0.79018,67.2,0,1085.0
42,228.0,294,48,0.8569,0.78959,67.3,0,1087.9
43,241.0,307,41,0.8565,0.7981,61.5,0,1090.5
44,1176.0,1409,900,0.8477,0.80383,67.2,0,1144.1
45,929.0,1127,714,0.8407,0.75564,64.1,0,1188.7
46,267.0,722,2005,0.8211,0.75196,64.7,0,1312.7
47,686.0,810,340,0.8177,0.71818,61.2,0,1334.9
48,684.0,803,312,0.8147,0.71178,60.3,0,1355.7
49,610.0,686,98,0.8137,0.69963,57.4,0,1362.5
50,229.0,294,41,0.8133,0.70455,62.4,0,1365.1
51,227.0,292,43,0.8129,0.73515,65.6,0,1502.3
52,575.0,670,199,0.8109,0.75237,63.0,0,1515.0
53,617.0,713,240,0.8086,0.72264,66.1,0,1529.5
54,237.0,301,34,0.8083,0.7218,65.1,0,1531.6
55,583.0,665,125,0.807,0.73257,58.3,0,1540.1
56,787.0,889,240,0.8047,0.75225,64.7,0,1555.0
57,850.0,1130,1125,0.7937,1.03384,58.5,0,1631.9
58,237.0,303,42,0.7932,1.01098,59.3,0,1634.7
59,1314.0,1428,287,0.7904,1.02543,59.5,0,1654.0
60,230.0,293,36,0.7901,0.93476,66.6,0,1656.2
61,634.0,714,112,0.789,1.00142,62.1,0,1663.4
62,224.0,291,53,0.7885,1.02463,69.9,0,1666.4
63,587.0,677,169,0.7868,0.99366,63.1,0,1677.2
64,704.0,819,295,0.7839,1.09831,59.3,0,1697.1
65,928.0,1222,1199,0.7722,1.0156,62.9,0,1773.3
66,211.0,280,61,0.7716,1.00228,59.5,0,1777.4
67,635.0,717,143,0.7702,0.95156,60.7,0,1786.8
68,1290.0,1410,321,0.767,1.04151,64.2,0,1806.8
69,607.0,679,75,0.7663,0.98859,59.0,0,1811.9
70,1270.0,1413,437,0.762,1.03501,62.7,0,1839.8
71,758.0,889,389,0.7582,1.03369,56.2,0,1867.5
72,692.0,803,277,0.7555,0.95562,50.5,0,1889.4
73,673.0,898,854,0.7471,0.99581,61.5,0,1944.9
74,630.0,706,96,0.7462,0.93326,52.8,0,1952.2
75,235.0,300,41,0.7458,0.96069,57.5,0,1955.1
76,245.0,311,41,0.7454,0.98367,57.4,0,1957.9
77,245.0,310,36,0.745,0.92351,44.2,0,1961.2
