episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
1,594.0,672,113,0.9998,,768.0,0,0.6
2,657.0,840,632,0.9985,,726.9,0,4.1
3,238.0,301,39,0.9985,,693.1,0,4.3
4,626.0,897,1086,0.9963,1.49415,176.2,0,29.0
5,614.0,693,112,0.9961,1.11701,148.8,0,32.0
6,242.0,309,50,0.996,1.06518,138.3,0,33.4
7,636.0,793,504,0.995,1.04207,149.7,0,46.9
8,692.0,896,749,0.9936,0.95435,146.4,0,67.4
9,222.0,287,50,0.9935,0.82949,153.0,0,68.7
10,600.0,710,269,0.9929,0.96592,147.1,0,76.0
11,230.0,296,47,0.9928,1.00635,140.9,0,77.3
12,1220.0,1419,744,0.9914,0.95804,146.9,0,97.6
13,218.0,287,62,0.9913,0.97699,131.9,0,99.5
14,597.0,678,124,0.991,0.9289,134.4,0,103.1
15,595.0,688,177,0.9907,0.91784,135.9,0,108.4
16,1076.0,1390,1295,0.9881,0.84479,140.9,0,145.1
17,796.0,895,224,0.9877,0.82855,136.1,0,151.7
18,667.0,898,883,0.986,0.78802,136.9,0,177.5
19,234.0,299,44,0.9859,0.79541,143.5,0,178.7
20,1157.0,1434,1098,0.9837,0.74819,142.4,0,209.6
21,612.0,696,135,0.9835,0.79002,146.7,0,213.3
22,633.0,794,525,0.9824,0.76969,142.2,0,228.0
23,1265.0,1407,428,0.9816,0.74358,150.3,0,239.4
24,626.0,719,199,0.9812,0.73609,155.5,0,244.5
25,1254.0,1410,503,0.9802,0.83105,144.4,0,258.5
26,873.0,1126,986,0.9783,0.94192,143.5,0,286.0
27,209.0,278,58,0.9782,0.92683,138.8,0,287.6
28,579.0,839,1023,0.9762,0.84702,138.2,0,317.2
29,634.0,722,165,0.9758,0.86137,141.5,0,321.9
30,241.0,306,42,0.9758,0.86192,141.0,0,323.1
31,591.0,678,152,0.9755,0.84553,140.5,0,327.4
32,240.0,305,38,0.9754,0.83362,145.1,0,328.5
33,559.0,663,244,0.9749,0.86121,144.3,0,335.2
34,221.0,289,55,0.9748,0.87343,140.8,0,336.8
35,212.0,280,59,0.9747,0.87137,140.8,0,338.5
36,238.0,307,60,0.9746,0.94847,143.9,0,340.2
37,604.0,679,87,0.9744,0.86312,146.7,0,342.5
38,230.0,295,42,0.9743,0.82192,142.1,0,343.7
39,719.0,867,464,0.9734,0.91447,147.1,0,356.3
40,782.0,898,307,0.9728,0.90608,144.1,0,364.9
41,246.0,313,53,0.9727,0.892,144.9,0,366.3
42,668.0,890,845,0.971,0.87046,146.1,0,389.5
43,236.0,301,36,0.971,0.84319,146.9,0,390.4
44,238.0,304,40,0.9709,0.84402,149.7,0,391.5
45,618.0,710,179,0.9705,0.85078,152.8,0,396.2
46,953.0,1130,607,0.9694,0.82412,150.3,0,412.3
47,567.0,649,126,0.9691,0.89126,151.3,0,415.7
48,847.0,1150,1230,0.9667,0.85833,145.7,0,449.4
49,228.0,296,50,0.9666,0.82598,147.3,0,450.8
50,221.0,287,48,0.9665,0.85284,149.7,0,452.1
51,618.0,721,240,0.966,0.87964,147.8,0,460.3
52,227.0,293,48,0.9659,0.86743,157.3,0,461.5
53,193.0,261,63,0.9658,0.93338,159.1,0,463.1
54,629.0,721,189,0.9655,0.83801,156.3,0,468.0
55,634.0,720,163,0.9651,0.88087,157.1,0,472.1
56,625.0,706,117,0.9649,0.90263,159.1,0,475.0
57,587.0,680,182,0.9645,0.8745,148.7,0,479.9
58,647.0,722,102,0.9643,0.87243,138.3,0,482.9
59,1133.0,1410,1110,0.9622,0.86939,145.2,0,513.5
60,239.0,304,40,0.9621,0.83392,145.2,0,514.6
61,616.0,721,250,0.9616,0.84389,147.1,0,521.4
62,705.0,891,659,0.9603,1.02523,144.6,0,539.6
63,240.0,304,40,0.9602,1.15069,140.9,0,540.7
64,443.0,898,2005,0.9563,1.15951,133.2,0,601.0
65,798.0,898,228,0.9559,1.06796,132.8,0,607.8
66,556.0,694,412,0.955,1.13035,130.0,0,620.5
67,579.0,663,135,0.9548,1.125,136.0,0,624.5
68,961.0,1116,503,0.9538,1.11469,132.8,0,639.6
69,735.0,865,369,0.9531,1.12577,130.8,0,650.9
70,245.0,310,36,0.953,1.05314,131.9,0,652.0
71,635.0,788,488,0.952,1.10142,133.6,0,666.6
72,751.0,1126,1597,0.9489,1.09507,133.1,0,714.6
73,467.0,898,1884,0.9452,1.0511,133.2,0,771.2
74,616.0,704,169,0.9449,1.0457,135.7,0,776.2
75,237.0,303,49,0.9448,1.04624,137.9,0,777.6
76,1083.0,1418,1393,0.9421,1.01998,132.3,0,819.7
77,195.0,263,60,0.9419,0.99617,134.9,0,821.5
78,201.0,268,56,0.9418,0.93617,133.8,0,823.2
79,988.0,1129,428,0.941,1.15552,131.1,0,836.2
80,995.0,1132,407,0.9402,1.34563,130.5,0,848.7
81,749.0,869,320,0.9396,1.29917,130.4,0,858.5
82,741.0,1126,1651,0.9363,1.30888,139.9,0,905.7
83,581.0,667,148,0.936,1.26724,143.5,0,909.9
