episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
1,594.0,672,113,0.9989,,632.8,0,0.7
2,660.0,843,635,0.9927,,617.8,0,4.8
3,238.0,301,39,0.9923,,628.6,0,5.1
4,229.0,297,59,0.9917,,664.8,0,5.4
5,784.0,898,300,0.9888,2.56975,103.6,0,17.0
6,914.0,1135,825,0.9807,2.35409,56.7,0,75.2
7,965.0,1139,588,0.9749,2.17273,48.9,0,123.3
8,584.0,682,210,0.9729,2.17812,54.7,0,138.7
9,610.0,689,112,0.9718,2.31078,51.8,0,147.3
10,228.0,293,44,0.9713,2.29003,58.8,0,150.3
11,239.0,304,41,0.9709,2.17668,63.7,0,152.9
12,585.0,849,1036,0.9608,2.27396,52.5,0,231.8
13,240.0,303,35,0.9604,1.98851,57.2,0,234.3
14,988.0,1134,451,0.956,2.10829,46.6,0,272.9
15,885.0,1124,925,0.947,2.06866,47.6,0,350.7
16,621.0,692,69,0.9463,2.03037,53.0,0,355.9
17,220.0,287,52,0.9458,2.07657,62.0,0,359.3
18,613.0,703,170,0.9441,2.17169,50.5,0,372.8
19,682.0,841,518,0.939,2.20281,48.9,0,415.1
20,215.0,280,51,0.9385,2.1152,46.8,0,419.5
21,1283.0,1413,371,0.9349,2.19154,47.5,0,450.7
22,619.0,704,151,0.9334,2.25927,42.7,0,464.9
23,711.0,812,225,0.9312,2.27326,39.8,0,487.5
24,571.0,668,203,0.9292,2.34721,45.8,0,505.2
25,587.0,672,141,0.9278,2.33986,37.8,0,520.1
26,238.0,300,32,0.9275,2.41053,41.6,0,523.2
27,1033.0,1153,311,0.9245,2.39784,37.5,0,556.4
28,225.0,290,45,0.924,2.43157,31.0,0,562.2
29,599.0,685,144,0.9226,2.35634,37.4,0,577.6
30,232.0,300,52,0.9221,2.42372,31.3,0,584.3
31,633.0,722,171,0.9204,2.41662,38.5,0,602.0
32,231.0,296,49,0.92,2.40786,47.7,0,606.1
33,595.0,896,1230,0.9079,2.40441,43.2,0,720.1
34,235.0,298,34,0.9076,2.29045,42.7,0,723.3
35,582.0,667,146,0.9061,2.28647,45.1,0,736.3
36,632.0,722,176,0.9044,2.34908,41.6,0,753.2
37,928.0,1137,763,0.8969,2.34335,45.2,0,820.8
38,1109.0,1241,380,0.8932,2.31053,59.7,0,846.2
39,239.0,304,36,0.8929,2.33567,62.7,0,848.5
40,590.0,683,184,0.8911,2.39847,66.8,0,859.6
41,229.0,294,44,0.8906,2.34827,62.8,0,862.4
42,908.0,1137,862,0.8822,2.3519,64.1,0,916.1
43,906.0,1137,874,0.8736,2.27545,64.8,0,970.1
44,230.0,295,42,0.8732,2.16914,68.7,0,972.5
45,223.0,287,43,0.8728,2.26713,63.7,0,975.2
46,233.0,297,41,0.8724,2.13156,62.1,0,977.9
47,688.0,814,349,0.869,2.28732,61.1,0,1000.7
48,594.0,673,114,0.8678,2.22479,56.8,0,1008.7
49,694.0,803,262,0.8653,2.324,58.3,0,1026.7
50,228.0,296,52,0.8648,2.24849,56.3,0,1030.4
51,1343.0,1525,622,0.8587,2.31278,57.4,0,1078.8
52,943.0,1127,647,0.8523,2.30154,59.0,0,1122.7
53,231.0,296,44,0.8519,2.45134,74.4,0,1125.1
54,233.0,299,41,0.8515,2.19168,69.8,0,1127.4
55,218.0,283,46,0.851,2.50468,63.1,0,1130.3
56,748.0,841,185,0.8492,2.3122,66.7,0,1141.4
57,2111.0,2459,1466,0.8349,2.30015,64.7,0,1232.0
58,634.0,721,168,0.8332,2.29439,68.5,0,1241.8
59,564.0,833,1062,0.8228,2.27239,61.7,0,1310.7
60,755.0,898,444,0.8185,2.26918,59.7,0,1340.4
61,662.0,797,385,0.8147,2.26319,62.9,0,1364.9
62,626.0,700,85,0.8139,2.34339,69.2,0,1369.8
